Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C6, C7, C8, C9",0402,44,100nF,C1525
"C10, C11, C12, C2",0402,4,4.7uF,C23733
"C15, C16",0402,2,10pF,C32949
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D4, D5, D6, D7, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,32,WS2812B-2020,C5349955
J1,MicroXNJ073,1,USB_B_Micro,C404969
Q1,SOT-23,1,2N7002,C8545
"R1, R2, R5, R6, R7, R8",0402,6,10k,C25744
"R3, R4",0402,2,22,C25092
SW1,SW_Push_SPST_NO_Alps_SKRK,1,BOOT,C262416
SW2,SW_Push_SPST_NO_Alps_SKRK,1,CYCLE,C262416
SW3,SW_Push_SPST_NO_Alps_SKRK,1,BRIGHT,C262416
TP1,TestPoint_Pad_1.0x1.0mm,1,SWD_CLK,
TP2,TestPoint_Pad_1.0x1.0mm,1,SWD_DATA,
TP3,TestPoint_Pad_1.0x1.0mm,1,LED_DATA_TP,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-23-3,1,XC6206PxxxMR,C5446
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
