Designator,Mid X,Mid Y,Rotation,Layer
C1,146.0,-132.0,270.0,top
C10,152.55,-137.1,270.0,top
C11,146.95,-132.0,270.0,top
C12,147.9,-132.0,270.0,top
C13,150.7,-132.0,270.0,top
C14,148.85,-121.8,90.0,top
C15,156.05,-120.8,90.0,top
C16,150.85,-120.8,270.0,top
C17,147.45,-137.1,270.0,top
C18,139.615,-129.05,180.0,top
C19,131.88,-130.1575,180.0,top
C2,145.4,-139.6,90.0,top
C20,133.85,-120.45,180.0,top
C21,143.5,-120.51,180.0,top
C22,147.355,-114.16,180.0,top
C23,162.41,-119.74,180.0,top
C24,163.34,-129.51,180.0,top
C25,177.93,-126.37,180.0,top
C26,163.15,-111.52,180.0,top
C27,171.43,-108.53,180.0,top
C28,154.69,-106.12,180.0,top
C29,137.45,-111.59,180.0,top
C3,149.7,-132.0,270.0,top
C30,128.37,-108.35,180.0,top
C31,143.94,-104.65,180.0,top
C32,159.12,-100.76,180.0,top
C33,165.37,-94.69,180.0,top
C34,151.19,-94.94,180.0,top
C35,135.72,-95.98,180.0,top
C36,142.11,-89.48,180.0,top
C37,149.8,-86.23,180.0,top
C38,160.36,-83.16,180.0,top
C39,153.39,-77.48,180.0,top
C4,154.65,-126.4,270.0,top
C40,138.66,-82.92,180.0,top
C41,146.01,-75.95,180.0,top
C42,148.7,-66.55,310.0,top
C43,139.6,-127.85,180.0,top
C44,155.695,-113.285,180.0,top
C45,168.085,-123.91,180.0,top
C46,121.97,-126.46,180.0,top
C47,148.3,-64.65,245.0,top
C48,150.0,-63.5,180.0,top
C49,151.7,-64.65,115.0,top
C5,154.65,-129.02,90.0,top
C50,151.3,-66.55,50.0,top
C6,145.4,-126.35,270.0,top
C7,149.8,-121.8,90.0,top
C8,154.65,-123.7,90.0,top
C9,152.55,-134.95,90.0,top
D1,139.6,-130.8,180.0,top
D10,171.4,-110.3,180.0,top
D11,154.7,-107.85,180.0,top
D12,137.45,-113.3,180.0,top
D13,128.35,-110.1,180.0,top
D14,143.95,-106.4,180.0,top
D15,159.1,-102.5,180.0,top
D16,165.35,-96.45,180.0,top
D17,151.2,-96.65,180.0,top
D18,135.75,-97.7,180.0,top
D19,142.1,-91.2,180.0,top
D2,131.865,-131.9075,180.0,top
D20,149.8,-87.95,180.0,top
D21,160.35,-84.9,180.0,top
D22,153.4,-79.2,180.0,top
D23,138.65,-84.65,180.0,top
D24,146.0,-77.7,180.0,top
D25,147.15,-67.8,220.0,top
D26,155.7,-115.025,180.0,top
D27,168.075,-125.65,180.0,top
D28,121.975,-128.2,180.0,top
D29,146.5,-63.8,155.0,top
D3,133.85,-122.2,180.0,top
D30,150.0,-61.5,90.0,top
D31,153.5,-63.8,25.0,top
D32,152.85,-67.8,320.0,top
D4,143.5,-122.25,180.0,top
D5,147.375,-115.9,180.0,top
D6,162.4,-121.45,180.0,top
D7,163.35,-131.25,180.0,top
D8,177.95,-128.1,180.0,top
D9,163.15,-113.25,180.0,top
J1,150.0,-140.2,0.0,top
Q1,143.9,-129.3,0.0,top
R1,144.4,-126.35,270.0,top
R2,144.55,-132.0,270.0,top
R3,147.95,-133.5,0.0,top
R4,150.0,-133.5,180.0,top
R5,152.05,-133.5,0.0,top
R6,147.45,-135.0,90.0,top
R7,147.85,-121.8,270.0,top
R8,141.45,-127.85,0.0,top
SW1,154.75,-135.75,90.0,top
SW2,145.25,-135.75,90.0,top
SW3,141.05,-125.55,0.0,top
U1,150.0,-126.9,180.0,top
U2,158.0,-126.6,0.0,top
U3,150.0,-135.75,0.0,top
Y1,153.45,-120.8,180.0,top
